rank,compound_id,canonical_smiles,predicted_pchembl,predicted_ic50_nM,mol_wt,logp,hbd,hba,tpsa,rotatable_bonds
28,CHEMBL93973,CCCC[C@H](CN(O)C=O)C(=O)N[C@H](C(=O)N(C)C1CCCCC1)C(C)(C)C,6.736623708658132,183.39027060520013,397.5600000000003,2.9623999999999997,2,4,89.95,10
29,CHEMBL64939,CCC[C@H](NC(=O)C(C)(C)NCCCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(N)=O,6.729377886002927,186.4756432785203,438.6570000000002,3.0162000000000013,4,4,113.32,14
30,CHEMBL280177,CCN1CCCCCC1c1ccc(-c2cc(S(=O)(=O)CC)ccc2OC)[nH]1,6.723518553173112,189.00854845191427,390.5490000000002,4.420900000000004,1,4,62.4,6
31,CHEMBL303158,CCC[C@@H](C(=O)N[C@@H](CC(C)C)C(N)=O)N1CC[C@](CCC)(NCCCC2CCCCC2)C1=O,6.722395513282985,189.49793717647333,478.7220000000005,3.8926000000000025,3,4,104.53,15
32,CHEMBL227011,CC(=O)N[C@@H](CCC1CCCCC1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)N1CCC[C@H]1C(N)=O,6.717674363713,191.56917824224513,488.60400000000027,2.1944999999999997,3,4,121.6,10
33,CHEMBL4441155,CC(C)(C)NS(=O)(=O)c1ccc(NC(=O)[C@H](CC2CCCCC2)NC(=O)c2ccccc2)cc1,6.716874986621903,191.92211165264095,485.6500000000003,4.470900000000004,3,4,104.37,8
34,CHEMBL169626,CN(C)c1cccc2c(S(=O)(=O)NC(CCCN=C(N)N)C(=O)NC3CCCCC3)cccc12,6.711640379605849,194.24937064681757,488.6580000000003,2.0552000000000015,4,5,142.91,10
35,CHEMBL67080,CCC[C@H](NC(=O)[C@](C)(CCC)NCCCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(N)=O,6.710990464172742,194.54027964673736,466.7110000000003,3.796400000000003,4,4,113.32,16
36,CHEMBL331123,COc1cc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)ccc1S(N)(=O)=O,6.7042056905419845,197.6033529496708,432.50600000000003,2.7116,3,8,145.10999999999999,7
37,CHEMBL209216,CCC[C@H](NC(=O)C1(NC(=O)OC(C)(C)C)CCCCC1)C(=O)c1nnc(-c2ccco2)o1,6.700428092342995,199.32965159223974,460.53100000000023,4.024800000000003,2,8,136.56,8
38,CHEMBL89914,CCCC[C@H](CN(O)C=O)C(=O)N[C@@H](CC1CCCCC1)C(=O)N(C)C,6.698236242427399,200.3381954650129,369.5060000000002,2.183799999999999,2,4,89.95,11
39,CHEMBL216704,COc1cc(NC(=O)C2CC(=O)N(C3CCCCC3)C2)cc(C(F)(F)F)c1,6.696446370377262,201.1655595715273,384.398,3.833700000000003,1,3,58.64,4
40,CHEMBL154040,C[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCC1CCCCC1)CC(=O)NO)C(C)(C)C)c1ccccc1,6.6842843082984436,206.87865865666868,473.6580000000002,4.657000000000003,4,4,107.53000000000002,11
41,CHEMBL157112,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)NO)C(=O)NC1CCCCC1,6.680488306577563,208.69483144503215,445.60400000000027,3.5008000000000017,4,4,107.53,10
42,CHEMBL78047,COC(=O)CCNC(=O)[C@H](CC1CCCCC1)NC(=O)[C@H](CCCc1ccccc1)CC(=O)O,6.678432208426271,209.68520646886398,474.5980000000003,3.2347,3,5,121.8,14
43,CHEMBL81202,CCCC(=O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)OC(C)(C)C,6.673071477214825,212.28950421509265,464.60700000000014,3.030800000000001,4,6,133.41,11
44,CHEMBL154215,CC(C)(C)[C@H](NC(=O)[C@H](CCCc1ccccc1)CC(=O)O)C(=O)NC1CCCCC1,6.6728683004474965,212.38884323021963,430.5890000000003,4.080000000000002,3,3,95.5,10
45,CHEMBL32881,Cc1nc(N)ccc1CNC(=O)Cn1c(C)cc(S(=O)(=O)C2CCCCC2)c(N)c1=O,6.6715169859528,213.05072383626256,447.5610000000003,1.4473399999999994,3,8,150.17,6
46,CHEMBL167503,COc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1C1OC(=O)NC1=O,6.668823179559691,214.37632440403186,411.43600000000026,1.3232999999999993,3,7,139.9,5
47,CHEMBL63897,CCC[C@H](NC(=O)[C@@H](CC)NCCCC1CCCCC1)C(=O)N[C@@H](CC(C)C)C(N)=O,6.666773211775404,215.39062091664692,438.6570000000002,3.0162000000000013,4,4,113.32,15
48,CHEMBL165439,COc1ccc(S(=O)(=O)c2ccc(CN3CCN(C4CCCCC4)C[C@H]3C)cc2)cc1,6.665356497593606,216.09439499699081,442.6250000000003,4.366800000000004,0,5,49.85000000000001,6
49,CHEMBL305129,COc1ccc(S(=O)(=O)N[C@H](CCCNC(=O)C2CCCCC2)C(=O)NO)cc1,6.661777846815992,217.88240138080448,427.52300000000025,1.3242,4,6,133.82999999999998,10
50,CHEMBL91055,O=C(O)C[C@H](CCCc1ccccc1)C(=O)N[C@@H](CC1CCCCC1)C(=O)NCCc1ccccc1,6.661164526916228,218.190316911127,492.6600000000005,4.914300000000004,3,3,95.5,14
